jobs_id,job_position,kategori
0,Back End Developer,"['Software Engineering']"
1,(Freelance) Sales Retail Mobile/Canvasser,"['Sales', 'Retail']"
2,Creative Lead,"['Creative & Design', 'Management & Leadership']"
3,Social Media Specialist,"['Marketing', 'Creative & Design']"
4,HRGA Staff area Padalarang Kabupaten Bandung Barat,"['Human Resources', 'Administrative & Secretarial']"
5,Backend Engineer,"['Software Engineering']"
6,Software Engineer in Test,"['Software Engineering', 'Quality Assurance (Software)']"
7,Product Manager,"['Product Management']"
8,Digital Strategist,"['Marketing']"
9,Art Director,"['Creative & Design', 'Management & Leadership']"
10,Social Media Specialist,"['Marketing', 'Creative & Design']"
11,PHP Developer,"['Software Engineering']"
12,Legal [Bayarind],"['Legal & Compliance']"
13,Customer Service,"['Customer Service & Support']"
14,Financial Consultant,"['Finance', 'Consulting']"
15,Graphic Designer,"['Creative & Design']"
16,Business Development Executive,"['Business Development', 'Sales']"
17,Internship Affiliate & KOL Management,"['Internship & Trainee Programs', 'Marketing']"
18,Creative Graphic Designer,"['Creative & Design']"
19,Career Development Officer,"['Human Resources', 'Learning & Development']"
20,Special Project,"['Project Management', 'Other']"
21,Waitress ( Ex Hotel Only ),"['Hospitality & F&B']"
22,Host Live,"['Marketing', 'Creative & Design']"
23,Back End Developer,"['Software Engineering']"
24,Videographer & Video Editor (A-List),"['Creative & Design']"
25,Project Manager,"['Project Management']"
26,Business Development Internship,"['Internship & Trainee Programs', 'Business Development', 'Sales']"
27,Creative Group Head,"['Creative & Design', 'Management & Leadership']"
28,Airport VIP Service,"['Customer Service & Support', 'Hospitality & F&B']"
29,Performance Marketing,"['Marketing']"
30,Livestreamer,"['Marketing', 'Creative & Design']"
31,Business Development,"['Business Development', 'Sales']"
32,Sr. Quality Assurance (QA) Engineer,"['Quality Assurance (Software)', 'Management & Leadership']"
33,DevSecOps,"['DevOps', 'Cybersecurity']"
34,Accounting Tax,"['Accounting', 'Tax']"
35,QA Engineer (Associate),"['Quality Assurance (Software)']"
36,Devops Engineering,"['DevOps']"
37,Backend Developer GO,"['Software Engineering']"
38,Java Developer,"['Software Engineering']"
39,Front End Developer,"['Software Engineering']"
40,CRM (Customer Relationship Management),"['Marketing', 'Sales', 'Customer Service & Support']"
41,Product Manager,"['Product Management']"
42,User Operations Intern (Mandarin Speaker),"['Internship & Trainee Programs', 'Operations Management', 'Customer Service & Support']"
43,Tax Specialist,"['Tax']"
44,Accounting Specialist,"['Accounting']"
45,Business Operations Intern,"['Internship & Trainee Programs', 'Operations Management']"
46,Graphic Design Intern,"['Internship & Trainee Programs', 'Creative & Design']"
47,Claim Insurance - Customer Care Officer [Medlinx],"['Customer Service & Support', 'Finance', 'Healthcare & Medical']"
48,Personal Assistant,"['Administrative & Secretarial']"
49,Legal Counsel,"['Legal & Compliance']"
50,Sales And Marketing Specialist,"['Sales', 'Marketing']"
51,Presales Consultant,"['Sales', 'Consulting', 'IT Operations & Support']"
52,Senior Full Stack Developer,"['Software Engineering', 'Management & Leadership']"
53,Internship Admin O2O,"['Internship & Trainee Programs', 'Administrative & Secretarial', 'Retail']"
54,Senior UI/UX Designer,"['UI/UX Design', 'Creative & Design', 'Management & Leadership']"
55,General Affair & Administration (6 Months Contract),"['Administrative & Secretarial']"
56,PIC Live Stream (Analyst),"['Marketing', 'Creative & Design', 'Data Science & Analytics']"
57,Host Live Stream (Beauty),"['Marketing', 'Creative & Design']"
58,General Ledger Supervisor,"['Accounting', 'Management & Leadership']"
59,Digital Marketing Ads,"['Marketing']"
60,Audit Supervisor (Pengalaman Audit di KAP),"['Audit', 'Management & Leadership']"
61,Sr. OD & Talent Management,"['Human Resources', 'Management & Leadership']"
62,Integrated Marketing Manager,"['Marketing', 'Management & Leadership']"
63,Photographer & Videographer at AADK (Ada Apa Dengan Kopi),"['Creative & Design']"
64,"Finance Account Receivable Staff, Jakarta Utara","['Finance', 'Accounting']"
65,3D Artist,"['Creative & Design']"
66,Laboratory Assistant of the Faculty of Tourism,"['Education & Training', 'Hospitality & F&B', 'Skilled Trades & Technician']"
67,Learning Multimedia Specialist,"['Learning & Development', 'Creative & Design']"
68,Digital Performance Ads Specialist (Surabaya),"['Marketing']"
69,Digital Ads Specialist,"['Marketing']"
70,Telemarketing,"['Sales']"
71,Food Research and Development,"['Research & Development', 'Hospitality & F&B']"
72,Internship Program,"['Internship & Trainee Programs']"
73,Merchandiser Modern Trade Supervisor (Brand Evolene),"['Retail', 'Sales', 'Management & Leadership']"
74,Client Relationship Officer,"['Account Management', 'Customer Service & Support']"
75,Commercial Sales Officer (Samarinda),"['Sales']"
76,Personal Assistant to CEO,"['Administrative & Secretarial']"
77,Site Manager,"['Operations Management', 'Engineering (non-software)', 'Management & Leadership']"
78,Tax Assistant Manager,"['Tax', 'Management & Leadership']"
79,Fullstack Developer,"['Software Engineering']"
80,Sales Assistant (Plaza Indonesia),"['Sales', 'Retail', 'Customer Service & Support']"
81,Accounting & Audit Support Jakarta Utara,"['Accounting', 'Audit', 'Administrative & Secretarial']"
82,Project Management Manufacturing,"['Project Management', 'Production & Manufacturing']"
83,Junior Advertiser,"['Marketing']"
84,Account Manager,"['Account Management', 'Sales']"
85,Field Sales Jaktim,"['Sales']"
