company_name,job_position,employment_type,working_location_type,working_location,min_experience,salary,company_industry,company_location,company_employess_count,jobs_id,kategori
Bringin Inti Teknologi,Back End Developer,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Technology and Software Solutions,Jakarta Pusat,50–100,0,['Software Engineering']
Torch.id,(Freelance) Sales Retail Mobile/Canvasser,Penuh waktu,On-site,Indonesia,Min. 1 years of experience,Negotiable,Fashion & Apparel,Bandung,50–100,1,"['Sales', 'Retail']"
Clerina Group,Creative Lead,Penuh waktu,On-site,Bandung,Min. 1 years of experience,Negotiable,Beauty and Cosmetics,Bandung,1–50,2,"['Creative & Design', 'Management & Leadership']"
Torch.id,Social Media Specialist,Penuh waktu,On-site,Bandung,Min. 1 years of experience,Negotiable,Fashion & Apparel,Bandung,50–100,3,"['Marketing', 'Creative & Design']"
Kharisma Potensia Indonesia,HRGA Staff area Padalarang Kabupaten Bandung Barat,Kontrak,On-site,Bandung Barat Regency,Min. 1 years of experience,Rp3.500.000 – 3.508.677,Human Resources and Consulting,Jakarta,>100,4,"['Human Resources', 'Administrative & Secretarial']"
S16 Research Ventures,Backend Engineer,Penuh waktu,Remote,-,Min. 1 years of experience,Rp25.000.000 – 30.000.000,Information Technology,Jakarta Pusat,1–50,5,['Software Engineering']
PT. Inovasi Anak Indonesia - PARKEE,Software Engineer in Test,Kontrak,On-site,Jakarta Pusat,Min. Freshgrad,Negotiable,technology services,Jakarta Pusat,50–100,6,"['Software Engineering', 'Quality Assurance (Software)']"
PT Indonesia Fintopia Technology (Easycash),Product Manager,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,Negotiable,"Tech Company, Fintech",Jakarta,50–100,7,['Product Management']
5758 Creative Lab,Digital Strategist,Penuh waktu,Remote,-,Min. 4 years of experience,Negotiable,Advertising Services,Jakarta Selatan,50–100,8,['Marketing']
CFACTORY.CO,Art Director,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,Advertising Services,Jakarta,50–100,9,"['Creative & Design', 'Management & Leadership']"
PT. BING KREATIF MANDIRI,Social Media Specialist,Penuh waktu,On-site,Jakarta Utara,Min. 1 years of experience,Negotiable,Ritel Makanan Dan Minuman,Jakarta Utara,>100,10,"['Marketing', 'Creative & Design']"
Bringin Inti Teknologi,PHP Developer,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Technology and Software Solutions,Jakarta Pusat,50–100,11,['Software Engineering']
Sprint Asia,Legal [Bayarind],Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,IT Services And IT Consulting,Jakarta,50–100,12,['Legal & Compliance']
V-Green Indonesia ,Customer Service,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Rp5.000.000 – 7.000.000,Industrial Machinery Manufacturing,Jakarta Selatan,1–50,13,['Customer Service & Support']
Valbury Asia Group,Financial Consultant,Penuh waktu,On-site,Medan,Min. Freshgrad,Negotiable,Financial Services,Jakarta Selatan,-,14,"['Finance', 'Consulting']"
PT Lakon Cipta Budaya,Graphic Designer,Penuh waktu,On-site,Tangerang,Min. 1 years of experience,Negotiable,Clothing Retail,Jakarta,50–100,15,['Creative & Design']
5758 Creative Lab,Business Development Executive,Penuh waktu,Remote,-,Min. 1 years of experience,Negotiable,Advertising Services,Jakarta Selatan,50–100,16,"['Business Development', 'Sales']"
