company_name,job_position,employment_type,working_location_type,working_location,min_experience,salary,company_desc,company_industry,company_location,company_employess_count,job_desc_list,job_qualification_list,jobs_id
Bringin Inti Teknologi,Back End Developer,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,,"We are an Integrated IT Solutions provider with a vision to become a leading technology service provider company which provides continuously positive value through innovation & effectiveness solutions by prioritizing customer’s satisfaction within the missions to become a trusted partner of customers through an optimal effective services that guarantee solutions, therefore, provide professional resources that is based on performances and integrity",Technology and Software Solutions,Jakarta Pusat,50–100,"['Utilize languages like Go, PHP/Laravel, and Python for backend development and maintenance.', 'Manage SQL (MySQL, PostgreSQL) and NoSQL (MongoDB) databases for data storage and retrieval.', 'Implement and manage messaging systems such as Kafka, RabbitMQ, and Redis for enhanced performance.', 'Design and implement APIs for effective frontend-backend communication.', 'Regularly use Git for code versioning and collaborative development.', 'Apply clean code architecture practices to ensure code quality and maintainability.', 'Use object-oriented programming techniques for modular and scalable code development.', 'Understand and implement Entity Relationship Diagrams and database normalization for efficient database design.']","['Minimum Bachelor of Science in computer science, software engineering, programming, or equivalent', 'Proficiency with languages such as\xa0Go, PHP/Laravel, and Python', 'Understanding\xa0\xa0Entity Relationship Diagram and normalization', 'Experience in SQL (my sql, postgresql) and no SQL (mongodb)', 'Have experience in implement messages broker (kafka), messages queue (rabbitmq) and redis is a plus', 'Experience with the design and implementation of APIs', 'Understanding of code versioning tools such as Git', 'Understanding\xa0of clean code architecture is\xa0a plus', 'Understanding of object-oriented programming']",0
Torch.id,(Freelance) Sales Retail Mobile/Canvasser,Penuh waktu,On-site,Indonesia,Min. 1 years of experience,,"Torch.id is a prominent Indonesian brand, provider of bags, luggages, traveling apparels and gears — which leverages data-driven research and design— to deliver innovative solutions to its customers.",Fashion & Apparel,Bandung,50–100,"['Retail Sales Mobile akan bertanggung jawab untuk mencari dan menjalin hubungan dengan klien bisnis baru (perusahaan, organisasi, pemerintah, dsb). Tugas utama posisi ini adalah mencari dan menghasilkan prospek, membangun hubungan, dan mengubah peluang menjadi sales dengan mempromosikan produk torch.id kepada bisnis lain.']","['Pendidikan minimal SMA/SMK/sederajat.', 'Memiliki pengalaman minimal 1 tahun sebagai sales B2B.', 'Memiliki database network di industri, pemerintah, dsb.', 'Memiliki dan bisa mengendarai kendaraan pribadi.', 'Memiliki kemampuan komunikasi yang baik.', 'Bersedia bekerja mobile.', 'Aktif, jujur, memiliki inisiatif, teliti, dan bertanggung jawab.', 'Berdomisili di sekitar ']",1
Clerina Group,Creative Lead,Penuh waktu,On-site,Bandung,Min. 1 years of experience,,Clerina Group merupakan company yang bergerak di bidang industri kosmetik atau perawatan kulit yang dirintis sejak tahun 2020. Clerina group memiliki 2 brand yaitu Cleora beauty dan Azrina beauty.,Beauty and Cosmetics,Bandung,1–50,"['Membuat laporan weekly & monthly', 'Memberikan training & mentoring kepada Staff', 'Melakukan controlling pekerjaan kepada keseluruhan tim', 'Melakukan quality checking konten & desain', 'Membuat konsep feed untuk Marketplace & Social Media dan Membuat konsep desain untuk promosi twindate, mid month, & payday', 'Membuat konsep photo & video shoot per bulan untuk produk maupun talent', 'Melakukan morning briefing setiap hari kepada tim', 'Membuat timeline campaign dan content planning', 'Membuat & controlling budgeting untuk brand marketing', 'Melakukan quality checking untuk video KOL', 'Mengadakan monthly meeting dengan tim untuk evaluasi kerja', 'Presentasi pengajuan untuk approval campaign', 'Riset konten dan desain', 'Membuat plan untuk campaign atau campaign semester atau quarter']","['Pendidikan minimal S1 Ilmu Komunikasi / Marketing', 'Pengalaman minimal 3 tahun di bidang yang retail , dan sebelumnya pernah menjadi SPV', 'Diutamakan pernah bekerja dibidang skincare', 'Memiliki pemahaman yang mendalam tentang digital marketing dan platform media sosial.', 'Good Communication skill', 'Creative & Analytical thinking', 'Up to date dengan tren terbaru', 'Memiliki Keterampilan berpikri strategis, analitis dan problem solving', 'Mengikuti perkembangan terbaru dalam tren dan perilaku konsumen', 'Memiliki leadership skill dan kemampuan management tim yang kuat']",2
Torch.id,Social Media Specialist,Penuh waktu,On-site,Bandung,Min. 1 years of experience,,"Torch.id is a prominent Indonesian brand, provider of bags, luggages, traveling apparels and gears — which leverages data-driven research and design— to deliver innovative solutions to its customers.",Fashion & Apparel,Bandung,50–100,"['We are looking for a Social Media Specialist to join our growing team! As a Social Media Specialist, you will play a vital role in shaping TORCH’s online presence, engaging with the target audience,, and driving digital marketing efforts, mainly on Instagram and X (past: Twitter).']","[""Bachelor's degree in Marketing, Communications, Digital Media, or a related field."", 'Min. ', 'in social media management, preferably in the fashion or retail industry.', 'Strong understanding of social media platforms, trends, and best practices.', 'Excellent visual and written communication skills with a creative flair.', 'Proficiency in using social media scheduling tools, analytics, and advertising platforms.', 'Familiarity with graphic design tools for creating social media visuals.', 'Knowledge of influencer marketing and experience in managing influencer collaborations.', 'Ability to analyze data and extract actionable insights to improve social media performance.', 'Adaptability to changing social media algorithms and industry trends.', 'Customer-centric mindset with the ability to engage and connect with the target audience.', 'Strong organizational and multitasking skills to manage multiple social media channels and campaigns simultaneously']",3
Kharisma Potensia Indonesia,HRGA Staff area Padalarang Kabupaten Bandung Barat,Kontrak,On-site,Bandung Barat Regency,Min. 1 years of experience,Rp3.500.000 – 3.508.677,"PT KHARISMA POTENSIA INDONESIA Committed to being part of the formation of Quality Indonesian Human Resources, with focus on the formation of work systems, the self concept and training to build superior to be able make a significant contribution wherever they are.",Human Resources and Consulting,Jakarta,>100,"['Membantu perekrutan dan pengelolaan operasional;', 'Berkoordinasi dengan departemen\xa0terkait;', 'Menjaga dan Mengorganisasi dokumen pekerja seperti informasi pribadi dan kontrak kerja;', 'Memperbaharui database HR seperti dokumen Personal serta data karyawan baru dan yang lama;', 'Pemeliharaan aset;', 'Membantu urusan Perizinan Perusahaan;', 'Membina hubungan baik dengan Suplier.']","['Pengalaman HRGA minimal 1 Tahun', 'Memiliki kemampuan Interview dan Pengelolaan Operasional', 'Mahir mengendarai mobil, dan memiliki SIM A dan maupun SIM C aktif', 'Berdomisili di Padalarang']",4
S16 Research Ventures,Backend Engineer,Penuh waktu,Remote,-,Min. 1 years of experience,Rp25.000.000 – 30.000.000,At ,Information Technology,Jakarta Pusat,1–50,"['To build, maintain, and enhance our validator operations', 'Work with cross-functional teams to conceptualize, design, and develop Web3 products that align with the company’s vision.', 'Build advanced multichain solutions with a focus on top-tier security, scalability, and performance.', 'Research the newest code and understand its roadmap, to be on the cutting edge of blockchain technology.', 'Study latest blockchain developments and consider future implications to the broader ecosystem.', 'Success means establishing a resilient and secure blockchain infrastructure for the most promising networks']","['years of experience in coding in at least one modern language such as Node.js, Python, Java, and Go.', 'years of experience contributing to the architecture and design of new and existing systems (architecture, design patterns, reliability, and scaling)', 'A deep interest in and passion for blockchain and cryptocurrency is a must', 'Basic understanding of blockchain technology and familiarity with integrating blockchains or smart contracts.', 'Strong critical thinking, problem-solving, and a mindset for continuous learning.', 'Expertise in building and enabling gRPC Services.', 'Understands security practices in managing servers and networks.', 'Experience defining system architecture(s) and exploring technical feasibility tradeoffs and capabilities.', 'Good organizational and communication skills.', 'Startup mindset, ownership, and a proper balance of quality and sense of urgency!', 'Integrity, ethical standards and sound judgment.']",5
PT. Inovasi Anak Indonesia - PARKEE,Software Engineer in Test,Kontrak,On-site,Jakarta Pusat,Min. Freshgrad,," is an integrated IoT platform solution connecting users, parking providers, and building owners.",technology services,Jakarta Pusat,50–100,"['Review requirements, specifications and technical design documents to provide timely and meaningful feedback;', 'Create detailed, comprehensive and well-structured test plans and test cases;', 'Estimate, prioritize, plan and coordinate testing activities;', 'Experienced with a variety of different testing techniques such as Automated Testing;', 'Design, develop and execute automation scripts using open source tools;', 'Identify, record, document thoroughly and track bugs;', 'Perform thorough regression testing when bugs are resolved;', 'Develop and apply testing processes for new and existing products to meet client needs;', 'Liaise with internal teams (e.g. developers and product managers) to identify system requirements;', 'Monitor debugging process results;', 'Investigate the causes of non-conforming software and train users to implement solutions;', 'Track quality assurance metrics, like defect densities and open defect counts;', 'Stay up-to-date with new testing tools and test strategies;']","['Must have experience web automation with Java Script, Cypress, and Python', 'Have experience android automation with robot framework is a plus', 'Proven work experience in software quality assurance automation;', 'Strong knowledge of software QA methodologies, tools and processes;', 'Experience in writing clear, concise and comprehensive test plans and test cases;', 'Hands-on experience with both white box and black box testing;', 'Hands-on experience with automated testing tools;', 'Solid knowledge of SQL and scripting;', 'Experience working in an Agile/Scrum development process;', 'Ready to work in fast paced environment', 'Love to Explore new things', 'BS/MS degree in Computer Science, Engineering or a related subject']",6
PT Indonesia Fintopia Technology (Easycash),Product Manager,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,,"Fintopia Indonesia (PT Indonesia Fintopia Technology) is a subsidiary of Fintopia Inc. Founded in 2015 and headquartered in Beijing, China. Fintopia Inc. provides affordable financial services for everyone, especially for those unbanked and underserved. Fintopia Inc. quickly expands across Asia with Indonesia being its second largest market by transaction volume.","Tech Company, Fintech",Jakarta,50–100,"['Facilitate effective communication and collaboration with banking partners to ensure alignment and successful execution of initiatives.', 'Prepare, review, and maintain detailed product specifications, technical documentation, and related project artifacts to guide development and implementation.', 'Support the product management team in driving project timelines, monitoring progress, and managing requirements to ensure seamless development and delivery of solutions.', 'Conduct post-collaboration data analysis to assess performance metrics, derive insights, and identify areas for improvement in future partnerships.']","['A bachelor’s degree or higher in a relevant field, with a strong understanding of P2P lending and bank collaboration processes. Candidates with over one year of relevant experience are preferred.', 'Skilled in using product prototyping tools, data analysis software, and office productivity applications, including Microsoft Word and Excel.', 'Demonstrates a high level of responsibility, accountability, and commitment to achieving work goals and delivering results.', 'Fluency in English as working languages is a must to effectively communicate with stakeholders and manage cross-functional coordination.', 'At least 3 years of experience as Product Manager in related industry (banking, fintech, e-commerce, etc)']",7
5758 Creative Lab,Digital Strategist,Penuh waktu,Remote,-,Min. 4 years of experience,,A Forward-thinking Influencer Marketing Agency,Advertising Services,Jakarta Selatan,50–100,"['Develop and refine digital marketing strategies based on data insights, market trends, and audience behavior.', 'Analyze and interpret campaign performance metrics to inform strategic decision-making and continuous optimization.', 'Identify growth opportunities and recommend strategic initiatives to enhance user engagement, brand positioning, and conversion rates.', 'Provide strategic direction for KOL marketing, SEO, SEM, and social media campaigns to ensure alignment with business objectives.', 'Collaborate with cross-functional teams (creative, data, and account teams) to align strategy with execution and brand storytelling.', 'Present data-driven insights and strategic recommendations to clients and internal stakeholders to drive marketing effectiveness.', 'Stay updated on emerging digital trends and consumer behavior shifts to ensure the brand remains competitive and innovative.']","['Minimum 3 years experience as a Digital Strategist or similar role in a digital marketing agency.', 'Strong understanding of KOL Marketing, SEO, SEM, and social media platforms.', 'Proficiency in Google Analytics and other digital marketing tools.', 'Experience with data analysis and ability to derive actionable insights.', 'Excellent communication and presentation skills, with the ability to convey complex ideas clearly.', 'Familiarity with the latest digital marketing trends and technologies.', 'Ability to manage multiple projects and campaigns simultaneously while meeting deadlines.', 'Experience in managing 360 marketing campaigns, including ATL, BTL, and offline activations, is a plus.']",8
CFACTORY.CO,Art Director,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,,Embrace Creative Internet Economy,Advertising Services,Jakarta,50–100,"['Sebagai', 'Anda akan bertanggung jawab untuk memimpin dan mengarahkan tim desain dalam menciptakan konsep visual yang menarik dan efektif untuk berbagai platform digital. Anda akan bekerja sama dengan copywriter, account manager, dan tim lainnya untuk menghasilkan kampanye yang terintegrasi dan berdampak.']","['Gelar sarjana di bidang desain grafis, komunikasi visual, atau bidang terkait.', 'Pengalaman minimal 3-5 tahun sebagai desainer grafis atau art director di agensi digital atau studio kreatif.', 'Penguasaan software design (Adobe Creative Suite: Photoshop, Illustrator, InDesign).', 'Pemahaman tentang prinsip desain, tipografi, warna, dan layout.', 'Kemampuan berpikir kreatif dan konseptual.', 'Kemampuan komunikasi dan presentasi yang baik.', 'Kemampuan memimpin dan mengelola tim.', 'Pemahaman tentang tren digital marketing dan media sosial.', 'Portofolio yang kuat yang menunjukkan kemampuan desain dan kreativitas.', 'Memiliki pengetahuan dan pengalaman dalam pembuatan video, TVC, Short Movie, serta animas 2D/3D.', 'Pengalaman dalam menghandle klien dari berbagai macam\xa0industri.', 'Keterampilan fotografi atau ilustrasi.', 'Menguasai AI tools untuk visual generation, seperti Stable Diffusion, Midjourney, dan image/visual generator LLM lainnya.']",9
