jobs_id,salary
0,Rp5.000.000 – 10.000.000
1,Rp3.000.000 – 5.000.000
2,Rp6.000.000 – 12.000.000
3,Rp4.000.000 – 8.000.000
6,Rp4.000.000 – 7.000.000
7,Rp8.000.000 – 15.000.000
8,Rp6.000.000 – 12.000.000
9,Rp7.000.000 – 14.000.000
10,Rp4.000.000 – 8.000.000
11,Rp5.000.000 – 10.000.000
12,Rp5.000.000 – 10.000.000
14,Rp3.000.000 – 6.000.000
15,Rp4.000.000 – 8.000.000
16,Rp5.000.000 – 10.000.000
17,Rp1.500.000 – 2.500.000
18,Rp4.000.000 – 8.000.000
19,Rp4.000.000 – 8.000.000
20,Rp8.000.000 – 15.000.000
23,Rp5.000.000 – 10.000.000
24,Rp4.000.000 – 8.000.000
25,Rp10.000.000 – 20.000.000
27,Rp7.000.000 – 14.000.000
29,Rp4.000.000 – 8.000.000
30,Rp3.000.000 – 6.000.000
32,Rp8.000.000 – 15.000.000
33,Rp8.000.000 – 15.000.000
34,Rp4.000.000 – 8.000.000
35,Rp6.000.000 – 12.000.000
36,Rp5.000.000 – 10.000.000
37,Rp5.000.000 – 10.000.000
38,Rp5.000.000 – 10.000.000
39,Rp6.000.000 – 12.000.000
40,Rp4.000.000 – 8.000.000
41,Rp6.000.000 – 12.000.000
42,Rp1.500.000 – 2.500.000
43,Rp5.000.000 – 10.000.000
44,Rp5.000.000 – 10.000.000
45,Rp1.500.000 – 2.500.000
46,Rp1.500.000 – 2.500.000
47,Rp4.000.000 – 8.000.000
49,Rp10.000.000 – 20.000.000
53,Rp1.500.000 – 2.500.000
55,Rp4.000.000 – 8.000.000
56,Rp4.000.000 – 8.000.000
57,Rp3.000.000 – 6.000.000
58,Rp5.000.000 – 10.000.000
59,Rp4.000.000 – 8.000.000
61,Rp6.000.000 – 12.000.000
65,Rp3.000.000 – 6.000.000
67,Rp4.000.000 – 8.000.000
68,Rp4.000.000 – 8.000.000
70,Rp3.000.000 – 6.000.000
73,Rp5.000.000 – 10.000.000
76,Rp4.000.000 – 8.000.000
77,Rp8.000.000 – 15.000.000
78,Rp6.000.000 – 12.000.000
87,Rp8.000.000 – 15.000.000
90,Rp4.000.000 – 8.000.000
91,Rp8.000.000 – 15.000.000
92,Rp3.000.000 – 6.000.000
97,Rp3.000.000 – 6.000.000
98,Rp4.000.000 – 8.000.000
101,Rp6.000.000 – 12.000.000
106,Rp4.000.000 – 8.000.000
108,Rp3.000.000 – 6.000.000
110,Rp4.000.000 – 8.000.000
111,Rp3.000.000 – 6.000.000
114,Rp8.000.000 – 15.000.000
116,Rp10.000.000 – 20.000.000
118,Rp8.000.000 – 15.000.000
119,Rp3.000.000 – 6.000.000
121,Rp3.000.000 – 6.000.000
122,Rp7.000.000 – 14.000.000
123,Rp1.500.000 – 2.500.000
124,Rp1.500.000 – 2.500.000
127,Rp5.000.000 – 10.000.000
128,Rp10.000.000 – 20.000.000
135,Rp4.000.000 – 8.000.000
136,Rp4.000.000 – 7.000.000
137,Rp1.500.000 – 2.500.000
143,Rp5.000.000 – 10.000.000
145,Rp4.000.000 – 8.000.000
147,Rp6.000.000 – 12.000.000
148,Rp3.000.000 – 6.000.000
149,Rp8.000.000 – 15.000.000
153,Rp10.000.000 – 20.000.000
154,Rp1.500.000 – 2.500.000
156,Rp3.000.000 – 6.000.000
157,Rp4.000.000 – 7.000.000
158,Rp4.000.000 – 8.000.000
159,Rp5.000.000 – 10.000.000
160,Rp3.000.000 – 6.000.000
161,Rp5.000.000 – 10.000.000
162,Rp4.000.000 – 8.000.000
163,Rp4.000.000 – 8.000.000
165,Rp5.000.000 – 10.000.000
166,Rp5.000.000 – 10.000.000
167,Rp5.000.000 – 10.000.000
168,Rp4.000.000 – 8.000.000
170,Rp5.000.000 – 10.000.000
171,Rp8.000.000 – 15.000.000
172,Rp6.000.000 – 12.000.000
176,Rp5.000.000 – 10.000.000
177,Rp10.000.000 – 20.000.000
179,Rp10.000.000 – 20.000.000
180,Rp10.000.000 – 20.000.000
181,Rp8.000.000 – 15.000.000
182,Rp8.000.000 – 15.000.000
183,Rp12.000.000 – 25.000.000
184,Rp7.000.000 – 14.000.000
185,Rp7.000.000 – 14.000.000
186,Rp5.000.000 – 10.000.000
187,Rp5.000.000 – 10.000.000
188,Rp1.500.000 – 2.500.000
189,Rp7.000.000 – 14.000.000
190,Rp8.000.000 – 15.000.000
191,Rp3.000.000 – 6.000.000
192,Rp5.000.000 – 10.000.000
194,Rp5.000.000 – 10.000.000
195,Rp3.000.000 – 6.000.000
196,Rp7.000.000 – 14.000.000
209,Rp3.000.000 – 6.000.000
212,Rp8.000.000 – 15.000.000
214,Rp2.500.000 – 5.000.000
217,Rp3.300.000 – 3.300.001
221,Rp6.000.000 – 12.000.000
222,Rp2.000.000 – 4.000.000
223,Rp2.000.000 – 4.000.000
224,Rp2.000.000 – 4.000.000
225,Rp7.000.000 – 14.000.000
226,Rp2.000.000 – 4.000.000
227,Rp1.500.000 – 2.500.000
228,Rp7.000.000 – 14.000.000
229,Rp1.500.000 – 2.500.000
230,Rp2.500.000 – 5.000.000
231,Rp5.000.000 – 10.000.000
232,Rp5.000.000 – 10.000.000
233,Rp4.000.000 – 8.000.000
234,Rp3.000.000 – 6.000.000
235,Rp5.000.000 – 10.000.000
238,Rp6.000.000 – 12.000.000
240,Rp8.000.000 – 15.000.000
241,Rp1.500.000 – 2.500.000
243,Rp5.000.000 – 10.000.000
244,Rp10.000.000 – 20.000.000
245,Rp5.000.000 – 10.000.000
246,Rp4.000.000 – 8.000.000
249,Rp8.000.000 – 15.000.000
250,Rp3.000.000 – 6.000.000
252,Rp4.000.000 – 8.000.000
257,Rp10.000.000 – 20.000.000
258,Rp3.000.000 – 6.000.000
259,Rp5.000.000 – 10.000.000
263,Rp3.000.000 – 6.000.000
265,Rp8.000.000 – 15.000.000
266,Rp5.000.000 – 10.000.000
267,Rp2.500.000 – 5.000.000
269,Rp7.000.000 – 14.000.000
271,Rp10.000.000 – 20.000.000
272,Rp3.000.000 – 6.000.000
275,Rp5.000.000 – 10.000.000
276,Rp3.000.000 – 6.000.000
277,Rp4.000.000 – 8.000.000
278,Rp5.000.000 – 10.000.000
